block_id,conc1,conc2,ZIP_fit,ZIP_ref,ZIP_synergy,HSA_ref,HSA_synergy,Bliss_ref,Bliss_synergy,Loewe_ref,Loewe_synergy,Loewe_ci
2,2e-4,0.001,12.62452844689114,2.101545476586064,10.522982970305076,6.3035063278445485,6.113583285688639,-5.639650806369723,18.05674041990291,7.113448132679959,5.303641480853229,0.677087918125734
2,2e-4,1e-4,6.143669683815016,0.9427657135908651,5.200903970224151,6.3035063278445485,-2.03884675745154,3.328755145100515,0.9359044252924935,6.466387219716508,-2.2017276493235,1.2392659858599882
2,2e-4,0,6.3035063278445485,6.3035063278445485,0,6.3035063278445485,0,6.3035063278445485,0,6.3035063278445485,0,NA
2,0,1,16.017152387342666,16.017152387342666,0,16.017152387342666,0,16.017152387342666,0,16.017152387342666,0,NA
2,0,0.1,6.541749915051122,6.541749915051122,0,6.541749915051122,0,6.541749915051122,0,6.541749915051122,0,NA
2,0,0.01,4.5499162865135645,4.5499162865135645,0,4.5499162865135645,0,4.5499162865135645,0,4.5499162865135645,0,NA
2,0,0.001,-12.746642554206415,-12.746642554206415,0,-12.746642554206415,0,-12.746642554206415,0,-12.746642554206415,0,NA
2,0,1e-4,-3.17487994070805,-3.17487994070805,0,-3.17487994070805,0,-3.17487994070805,0,-3.17487994070805,0,NA
2,0,0,-4.787439804250843,-4.787439804250843,0,-4.787439804250843,0,-4.787439804250843,0,-4.787439804250843,0,NA
3,1.6,1,70.50629891828412,70.70194330927968,-0.19564439099556807,63.031785946427426,9.14486389973046,72.57629859363554,-0.3996487474776558,60.35664023188413,11.820009614273758,0.006775994985838789
3,1.6,0.1,68.4321630153001,63.65066007099336,4.7815029443067445,63.031785946427426,7.040629589192768,65.2192056873715,4.853209848248696,60.35664023188413,9.715775303736066,9.428354636724082e-4
3,1.6,0.01,63.54766666702389,60.03563178473881,3.5120348822850787,63.031785946427426,2.2481340143043624,62.814615562750696,2.465304397981093,60.35664023188413,4.92327972884766,1.8219581246023308e-4
